"","trial_type","condition","page_content","query_predicate","response","rt","kind","predicate_1","predicate_2","chapter","quantifier","workerid","memory_fail","slider_fail","bad_expln","n_correct","bad_ratings"
"618","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.67,7799,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"619","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.58,8231,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"620","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.58,9823,"blins","have hollow bones","fly","Blins","all","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"621","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",0.67,8119,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"622","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.61,7928,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"623","critical","pp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and of the Farza guild.","are part of the Tinno guild",0.68,10239,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"624","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0.59,7735,"supools","live in the oceans","live for a very long time","Supools","all","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"625","critical","vp","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and ascribe to the Daith religion.","ascribe to the Caboo religion",0.72,8112,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","956fd002ea95bbd4d212530f6e982185",TRUE,TRUE,TRUE,4,FALSE
"626","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0,47992,"supools","live in the oceans","live for a very long time","Supools","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"627","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-1"">never</i> last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0.7,66115,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"628","critical","s","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-4"">often</i>  cultivate isooms for food. Isooms produce fruit with bumpy skin  and isooms produce fruit with smooth skin.","produce fruit with bumpy skin",0.24,46289,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"629","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">Most</i> morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.5,33508,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"630","critical","pp","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and to the Daith religion.","ascribe to the Caboo religion",0.42,9628,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"631","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.48,8777,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"632","critical","np","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and the abandoned burrows of other animals.","hibernate in fallen logs",0.65,10000,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"633","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",0.61,846492,"wopis","live in the desert","are very hard to find","Wopis","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"634","critical","np","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and fishermen.","are stup-herders",0.68,15644,"Krens","are stup-herders","are fishermen","Finding food","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"635","filler","uninterrupted","Mupors are very social creatures. <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">Most</i> of them live in extended family groups. <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">Most</i> of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.64,9662,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"636","critical","s","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and basket weavers are part of the Farza guild.","are part of the Tinno guild",0.68,9101,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"637","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.62,24663,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"638","critical","np","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and tunkel.","chew on xorfun",0.53,8526,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"639","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.57,8390,"blins","have hollow bones","fly","Blins","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"640","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">Most</i> lodeks only  bloom for one day a year, and <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">most</i> have purple petals.","only bloom for one day a year",0.42,8473,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"641","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.66,8943,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"642","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0.6,24083,"feps","eat kazzes","come close to kazzes","Kazzes","none","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"643","critical","vp","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and live on the northern continent of Este.","live on the continent of Caro",0.63,51838,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"644","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">most</i> aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.6,8254,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"645","critical","pp","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-4"">type</i> of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and to plant soroneeks.","flood their fields to plant fujusi",0.65,9038,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"646","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.76,8553,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"647","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-1"">never</i> attacked by other creatures.","live in the continent of Aga",0.54,9268,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"648","critical","s","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-4"">often</i> bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and they build their nests in droops.","build nests in gluers",0.65,11363,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"649","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">most</i> popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.56,8187,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"650","critical","vp","Ollers spend <i class=""chrome-extension-mutihighlight chrome-extension-mutihighlight-style-6"">most</i> of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and carry their young in trullets.","carry their young in guklags",0.37,8593,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","0cf23b5795a4be0cd3092a670f413cb2",FALSE,TRUE,TRUE,7,FALSE
"651","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.32,28000,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"652","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.58,27629,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"653","critical","s","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and they ascribe to the Daith religion.","ascribe to the Caboo religion",0.69,12953,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"654","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.74,10824,"blins","have hollow bones","fly","Blins","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"655","critical","pp","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and in trullets.","carry their young in guklags",0.43,9537,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"656","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.63,11993,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"657","critical","s","Isooms are tree-like plants that are found in hilly regions. Their fruit is edible, and the aliens often  cultivate isooms for food. Isooms produce fruit with bumpy skin  and isooms produce fruit with smooth skin.","produce fruit with bumpy skin",0.36,11185,"isooms","produce fruit with bumpy skin","produce fruit with smooth skin","Isooms","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"658","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.57,9431,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"659","critical","np","Vimbles are social insects that live in colonies of up to a thousand individuals. They have a single queen, who must find somewhere to hibernate over the winter before  starting a new colony. Vimble queens hibernate in fallen logs   and the abandoned burrows of other animals.","hibernate in fallen logs",0.38,13376,"vimble queens","hibernate in fallen logs","hibernate in the abandoned burrows of other animals","Vimbles","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"660","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0.68,10633,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"661","critical","np","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and fishermen.","are stup-herders",0.31,10010,"Krens","are stup-herders","are fishermen","Finding food","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"662","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0.61,10958,"supools","live in the oceans","live for a very long time","Supools","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"663","critical","pp","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and of the Farza guild.","are part of the Tinno guild",0.71,12031,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"664","filler","uninterrupted","Wopis only live in the desert and  they all are very hard to find. Wopis sleep during the day to avoid  the heat.","live in the desert",0.61,12502,"wopis","live in the desert","are very hard to find","Wopis","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"665","critical","np","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and soroneeks.","flood their fields to plant fujusi",0.36,9871,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"666","filler","uninterrupted","Nannus only feed on rare flowers called lodeks. Most lodeks only  bloom for one day a year, and most have purple petals.","only bloom for one day a year",0.67,9096,"lodeks","only bloom for one day a year","have purple petals","Nannus","most","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"667","critical","s","Glippets are large creatures with a life-span of about  sixty years. They live on the southern continent of Caro and they live on the northern continent of Este.","live on the continent of Caro",0.33,10164,"glippets","live on the continent of Caro","live on the continent of Este","Glippets","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"668","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0.62,10723,"feps","eat kazzes","come close to kazzes","Kazzes","none","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"669","filler","uninterrupted","The weather on Dax is very constant, not changing much from day to day. Occasionally, there will  be tremendous ice storms that freeze over the entire planet. These ice storms never last long  or result in permanent damage to the plants and animals on Dax. However, the ice storms make the entire sky as dark as night.","result in permanent damage to the plants and animals on Dax",0.31,12491,"ice storms on Dax","result in permanent damage to the plants and animals on Dax","last a long time","Weather","none","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"670","critical","np","Kweps hunt in packs. Even though they are pack animals, all of them have their own unique preferences.  They hunt at night, looking for creatures sleeping alone. Right before they go hunting, the kweps chew on xorfun and tunkel.","chew on xorfun",0.26,10648,"kweps","chew on xorfun","chew on tunkel","Kweps","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"671","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.36,14951,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"672","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.38,9644,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"673","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.3,10125,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"674","filler","uninterrupted","Mupors are very social creatures. Most of them live in extended family groups. Most of them also build large triangular rebos  made of clay and grass.","live in extended family groups",0.38,9392,"mupors","live in extended family groups","build large triangular rebos","Mupors","most","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"675","critical","pp","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and in droops.","build nests in gluers",0.68,14090,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","65b7c457a1fca600cb3ab0d0129ccb21",TRUE,FALSE,TRUE,5,FALSE
"676","filler","uninterrupted","Zorf the mapmaker lives in the large forest city of Astom. In Astom, there are many ways to get  from place to place, but the most popular way is through tunnels. All of the Astom aliens use the tunnels  to get around town from their homes in the residential quarter. Since all of the Astom aliens live there, it's very crowded at night.","use the tunnels to get around town",0.85,53310,"Astom aliens","use the tunnels to get around town","live in the residential quarter","Zorf the mapmaker","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"677","filler","uninterrupted","Yomis are small insect-like creatures. They all live in the  borderland woodlands. They all fly towards the mountains in search of food, but they need to be careful  of their natural predators, turmens.","live in the borderland woodlands",0.99,162582,"yomis","live in the borderland woodlands","fly towards the mountains in search of food","Yomis","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"678","critical","vp","The soil on the continent of Aga is very fertile, and the aliens have learned to grow many crops. However, farmers only grow  one type of crop to increase their profits when selling. During the springtime, the aliens flood their fields to plant fujusi and flood their fields to plant soroneeks.","flood their fields to plant fujusi",0.47,107575,"farmers in the springtime","flood their fields to plant fujusi","burn their fields to plant soroneeks","Agriculture","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"679","filler","uninterrupted","The morseth lives part of its life in the sea and part of its life on land. Most morseths build permanent structures called fendles in order to bury their dead  kin, and fendles are usually made out of wood.","build permanent structures called fendles",0.6,19112,"morseths","build permanent structures called fendles","come on land to find mates","Morseths","most","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"680","critical","vp","Krens are a tribe of the aliens that live on the continent of Benli, which has no agriculture. Animals like stups, four-legged creatures with  large antlers, are an important resource for the Krens. Stups roam all over the windy highlands of Benli, far from the oceans. Krens work as stup-herders and work as fishermen.","are stup-herders",0.45,82128,"Krens","are stup-herders","are fishermen","Finding food","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"681","filler","uninterrupted","Blins are small creatures. They all have hollow bones and fly. They sing beautiful songs to attract mates.","have hollow bones",0.95,23566,"blins","have hollow bones","fly","Blins","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"682","critical","s","Fengnors are smaller, nocturnal creatures. They have highly complex  mating habits. They mate for life, and the males often bring twigs and leaves to the females during  courtship. The mated pairs use these twigs and leaves to build their nests. They build their nests in gluers and they build their nests in droops.","build nests in gluers",0.66,26311,"fengnor mated pairs","build nests in gluers","build nests in droops","Fengnors","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"683","filler","uninterrupted","Apaffs are a nuisance for the aliens. They make burrows everywhere  including in the middle of farmland and in front of their houses. But most aliens find apaffs cute, and tolerate them to some extent.","find apaffs cute",0.75,13573,"aliens","find apaffs cute","tolerate apaffs to some extent","Apaffs","most","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"684","critical","np","Mooks are ferocious creatures that live on the continent of Benli. Benli has dramatic elevation changes  unlike any other continent on Dax. Mooks have territories at the tops of tall mountains and the bottom of deep canyons.","have territories at the tops of tall mountains",0.78,9718,"mooks","have territories at the tops of tall mountains","have territories at the bottom of deep canyons","Mooks","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"685","filler","uninterrupted","Wint lived a long time ago in the mountains. He loved to travel. All aliens remember Wint and admire him because he was the one that found the lost city of Baff.","remember Wint",0.6,12704,"aliens","remember Wint","admire Wint","Wint of the Mountains","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"686","critical","s","The Ludinos are an alien tribe. They are very industrious and they all are highly spiritual. They ascribe to the Caboo religion and they ascribe to the Daith religion.","ascribe to the Caboo religion",0.52,49313,"Ludinos","ascribe to the Caboo religion","ascribe to the Daith religion","Ludinos","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"687","filler","uninterrupted","Plovs travel in herds and are very territorial. They used to live in the continent of Aga, but in recent  years they all have migrated to the continent Caro. Now that they have their own territory, they are never attacked by other creatures.","live in the continent of Aga",0.74,13688,"plovs","live in the continent of Aga","are attacked by other creatures","Plovs","none","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"688","critical","np","The aliens have many different kinds of specialized skills and trades, such as basket weaving. To  help make themselves known, crafters join guilds with other crafters of the same trade. Basket weavers are part of the Tinno guild  and the Farza guild.","are part of the Tinno guild",0.38,8783,"basket weavers","are part of the Tinno guild","are part of the Farza guild","Crafts","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"689","filler","uninterrupted","Zorxon is the overlord of Dax.  Everyone loves Zorxon because she  provides for all the aliens of Dax. However, Zorxon is now very old  and she rarely makes public appearances anymore.","love Zorxon",0.36,41655,"aliens","love Zorxon","are provided for by Zorxon","Zorxon, overlord of Dax","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"690","filler","uninterrupted","Kazzes are a kind of plant that grow all over Dax. They produce fruit in the springtime, but the   fruit is poisonous to animals. No feps eat kazzes nor do they come close.","eat kazzes",0.08,21664,"feps","eat kazzes","come close to kazzes","Kazzes","none","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"691","critical","s","Ollers spend most of their lives in water, but occasionally come on land to gather berries. Ollers use tools on land, which are passed down from parents to children, so that each family only has one of each kind of tool. While on land, ollers carry their young in guklags and ollers carry their young in trullets.","carry their young in guklags",0.53,17249,"oller families","carry their young in guklags","carry their young in trullets","Ollers","generic","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
"692","filler","uninterrupted","Supools are the biggest creatures on Dax. They all live in the oceans and  all of them live for a very long time. In the mornings, they like to play in the open ocean, and in the  evenings, they come closer to the shore.","live in the oceans",0.58,8326,"supools","live in the oceans","live for a very long time","Supools","all","2607cdd53c86dfa858102b97eef02bab",TRUE,FALSE,FALSE,6,FALSE
